"text,label"
"Alabama,LOCATION_STATE"
"Alaska,LOCATION_STATE"
"Arizona,LOCATION_STATE"
"Arkansas,LOCATION_STATE"
"California,LOCATION_STATE"
"Colorado,LOCATION_STATE"
"Connecticut,LOCATION_STATE"
"Delaware,LOCATION_STATE"
"Florida,LOCATION_STATE"
"Georgia,LOCATION_STATE"
"Hawaii,LOCATION_STATE"
"Idaho,LOCATION_STATE"
"Illinois,LOCATION_STATE"
"Indiana,LOCATION_STATE"
"Iowa,LOCATION_STATE"
"Kansas,LOCATION_STATE"
"Kentucky,LOCATION_STATE"
"Louisiana,LOCATION_STATE"
"Maine,LOCATION_STATE"
"Maryland,LOCATION_STATE"
"Massachusetts,LOCATION_STATE"
"Michigan,LOCATION_STATE"
"Minnesota,LOCATION_STATE"
"Mississippi,LOCATION_STATE"
"Missouri,LOCATION_STATE"
"Montana,LOCATION_STATE"
"Nebraska,LOCATION_STATE"
"Nevada,LOCATION_STATE"
"New Hampshire,LOCATION_STATE"
"New Jersey,LOCATION_STATE"
"New Mexico,LOCATION_STATE"
"New York,LOCATION_STATE"
"North Carolina,LOCATION_STATE"
"North Dakota,LOCATION_STATE"
"Ohio,LOCATION_STATE"
"Oklahoma,LOCATION_STATE"
"Oregon,LOCATION_STATE"
"Pennsylvania,LOCATION_STATE"
"Rhode Island,LOCATION_STATE"
"South Carolina,LOCATION_STATE"
"South Dakota,LOCATION_STATE"
"Tennessee,LOCATION_STATE"
"Texas,LOCATION_STATE"
"Utah,LOCATION_STATE"
"Vermont,LOCATION_STATE"
"Virginia,LOCATION_STATE"
"Washington,LOCATION_STATE"
"West Virginia,LOCATION_STATE"
"Wisconsin,LOCATION_STATE"
"Wyoming,LOCATION_STATE"
"""Bartlett, Roscoe"",PERSON"
"""Bartlett, Steve"",PERSON"
"""Barton, Joe Linus"",PERSON"
"""Bass, Charles Foster"",PERSON"
"""Baswell Guthrie, Cheryl"",PERSON"
"""Bateman, Herbert Harvell (Herb)"",PERSON"
"""Bates, Ed"",PERSON"
"""Bates, Jim"",PERSON"
"""Battin, James (James Franklin)"",PERSON"
"""Baucus, Max Sieben"",PERSON"
"""Baxter, Elaine Bland"",PERSON"
"""Baylor, Jo"",PERSON"
"""Bayne, Floyd"",PERSON"
"""Bean, Melissa Luburic"",PERSON"
"""Bean-Jones, Linda"",PERSON"
"""Beard, John M."",PERSON"
"""Beatty, J. D."",PERSON"
"""Beatty, Joyce"",PERSON"
"""Beauchamp, Bradley"",PERSON"
"""Beauprez, Robert L. (Bob)"",PERSON"
"""Beaven, Heather"",PERSON"
"""Becerra, Xavier"",PERSON"
"""Becker, Alan S."",PERSON"
"""Becker, Daniel"",PERSON"
"""Becker, Fran"",PERSON"
"""Bedell, Berkley Warren"",PERSON"
"""Bee, Tim"",PERSON"
"""Beilenson, Peter"",PERSON"
"""Beilenson, Tony"",PERSON"
"""Bell, Chris"",PERSON"
"""Bell, Dale"",PERSON"
"""Bell, Ken"",PERSON"
"""Bellamy, Terry"",PERSON"
"""Benacquisto, Lizbeth"",PERSON"
"""Benedict, Cleveland Keith (Cleve)"",PERSON"
"""Benishek, Dan"",PERSON"
"""Bennet, Michael F."",PERSON"
"""Bennett, Marshall"",PERSON"
"""Bennett, Richard Alan (Rick)"",PERSON"
"""Benson, Diane E."",PERSON"
"""Benson, Lois"",PERSON"
"""Bentivolio, Kerry"",PERSON"
"""Bentley, Helen Delich"",PERSON"
"""Benton, Don"",PERSON"
"""Bentsen, Ken"",PERSON"
"""Bera, Ami"",PERSON"
"""Bereuter, Douglas Kent (Doug)"",PERSON"
"""Berg, Richard Allen (Rick)"",PERSON"
"""Bergland, Robert Selmer (Bob)"",PERSON"
"""Berkhout, Jan"",PERSON"
"""Berkley, Rochelle (Shelley)"",PERSON"
"""Berkowitz, Ethan"",PERSON"
"""Bernier, Justin"",PERSON"
"""Berry, Robert Marion"",PERSON"
"""Bertini, Catherine Ann"",PERSON"
"""Bethel, Paul (Paul D.)"",PERSON"
"""Beuprez, Bob"",PERSON"
"""Bevill, Don"",PERSON"
"""Bevill, Tom"",PERSON"
"""Bevin, Matthew Griswold (Matt)"",PERSON"
"""Biggert, Judy"",PERSON"
"""Bigham, Larry"",PERSON"
"""Bilbray, Brian Phillip"",PERSON"
"""Bilbray, James Hubert (Jim)"",PERSON"
"""Bilirakis, Gus Michael"",PERSON"
"""Billings, Leon"",PERSON"
"""Billington, Barry E."",PERSON"
"""Bircher, Mark William"",PERSON"
"""Bishop, Dave"",PERSON"
"""Bishop, Sanford"",PERSON"
"""Bitter Smith, Susan"",PERSON"
"""Bitterman, Mary G.F."",PERSON"
"""Bius, Ben"",PERSON"
"""Blackwell, John Kenneth (Ken)"",PERSON"
"""Blagojevich, Milorad R. (Rod)"",PERSON"
"""Blaine, James G. (Jamie)"",PERSON"
"""Blaine, Jamie"",PERSON"
"""Blanche, Lambert"",PERSON"
"""Blankenbaker, Virginia"",PERSON"
"""Bledsoe, Cecile"",PERSON"
"""Bliley, Tom (Thomas J., Jr.)"",PERSON"
"""Blobaum, Roger"",PERSON"
"""Bloch, Ed"",PERSON"
"""Bloom, Elaine"",PERSON"
"""Blouin, Michael Thomas"",PERSON"
"""Blume, Norbert L."",PERSON"
"""Blumenauer, Earl"",PERSON"
"""Blute, Peter I."",PERSON"
"""Boccieri, John"",PERSON"
"""Bode, Denise"",PERSON"
"""Boehlert, Sherwood"",PERSON"
"""Boehner, John"",PERSON"
"""Boggs, Lindy"",PERSON"
"""Boggs, Thomas Hale, Sr."",PERSON"
"""Boland, Ray"",PERSON"
"""Boling, David"",PERSON"
"""Bolling, Richard Walker"",PERSON"
"""Bolton, Frances Payne Bingham"",PERSON"
"""Bonamici, Suzanne Marie"",PERSON"
"""Bond, Julian"",PERSON"
"""Bond, Richard Randolph"",PERSON"
"""Boner, William H. (Bill)"",PERSON"
"""Bonilla, Henry"",PERSON"
"""Bonilla, Jorge"",PERSON"
"""Bonior, David Edward"",PERSON"
"""Bonner, Jo"",PERSON"
"""Bono, Mary"",PERSON"
"""Bono, Sonny"",PERSON"
"""Boockvar, Kathy"",PERSON"
"""Boozman, John"",PERSON"
"""Bordonaro, Molly"",PERSON"
"""Bordonaro, Tom"",PERSON"
"""Boren, David Daniel (Dan)"",PERSON"
"""Boren, James H."",PERSON"
"""Borgia, Chris"",PERSON"
"""Bornstein, Julie"",PERSON"
"""Borski, Robert Anthony, Jr. (Bob)"",PERSON"
"""Bosch, Patricia"",PERSON"
"""Bosco, Doug"",PERSON"
"""Boswell, David"",PERSON"
"""Boswell, Leonard"",PERSON"
"""Boteach, Shmuley"",PERSON"
"""Boucher, Frederick Carlyle (Rick)"",PERSON"
"""Boustany, Charles"",PERSON"
"""Bowers, Rusty"",PERSON"
"""Bowles, Ian"",PERSON"
"""Boxer, Barbara Levy"",PERSON"
"""Boyd, Allen"",PERSON"
"""Boyd, Kevin"",PERSON"
"""Boyda, Nancy"",PERSON"
"""Brademas, John"",PERSON"
"""Bradley, Gerald Allen"",PERSON"
"""Bradley, Joseph E. (Jeb)"",PERSON"
"""Bradshaw, Charles Jackson"",PERSON"
"""Brady, Bill"",PERSON"
"""Brady, Lawrence J. (Larry)"",PERSON"
"""Braley, Bruce"",PERSON"
"""Brannen, Barney"",PERSON"
"""Brassell, Malcolm"",PERSON"
"""Braun, Warren D."",PERSON"
"""Bray, C. Crandle"",PERSON"
"""Bredesen, Philip Norman (Phil)"",PERSON"
"""Bresso, Gineen"",PERSON"
"""Brewser, Bill K."",PERSON"
"""Brewster, Bill K."",PERSON"
"""Brewster, Gerry Leiper"",PERSON"
"""Briare, John"",PERSON"
"""Brickley, David Guy"",PERSON"
"""Bridenstine, Jim"",PERSON"
"""Bridgewater, Tim"",PERSON"
"""Bright, Bobby"",PERSON"
"""Brindenstine, Jim"",PERSON"
"""Britt, Charles Robin"",PERSON"
"""Brittain, Preston"",PERSON"
"""Bromell-Tinubu, Gloria"",PERSON"
"""Brooks, Jack"",PERSON"
"""Brooks, Maggie"",PERSON"
"""Brooks, Mo"",PERSON"
"""Brooks, Susan"",PERSON"
"""Brotzman, Donald G."",PERSON"
"""Browder, John Glen"",PERSON"
"""Brown, Charles D. (Charlie)"",PERSON"
"""Brown, Corrine"",PERSON"
"""Brown, Garry Eldridge"",PERSON"
"""Brown, George Edward"",PERSON"
"""Brown, Henry"",PERSON"
"""Brown, John C."",PERSON"
"""Brown, Melissa"",PERSON"
"""Brown, Sherrod Campbell"",PERSON"
"""Brown, Shirley"",PERSON"
"""Brownley, Julia"",PERSON"
"""Broyhill, Ed"",PERSON"
"""Broyhill, Joel Thomas"",PERSON"
"""Bruce, Terry Lee"",PERSON"
"""Brunner, Robert (Robert Charles)"",PERSON"
"""Brunsdale, Kenley"",PERSON"
"""Bruun, Scott"",PERSON"
"""Bryan, Jon L."",PERSON"
"""Bryant, Ed"",PERSON"
"""Bryant, John Wiley"",PERSON"
"""Bryles, Steve"",PERSON"
"""Buchanan, Vern"",PERSON"
"""Bucshon, Larry"",PERSON"
"""Budagher, John"",PERSON"
"""Buerkle, Ann Marie"",PERSON"
"""Bugie, Doug"",PERSON"
"""Buhrmaster, Jim"",PERSON"
"""Buhrmaster, Margaret B."",PERSON"
"""Bull, Chip"",PERSON"
"""Bunn, Jim"",PERSON"
"""Bunning, James Paul David (Jim)"",PERSON"
"""Burden, Carter"",PERSON"
"""Burkett, Richard"",PERSON"
"""Burkhold, Mike"",PERSON"
"""Burner, Darcy Gibbons"",PERSON"
"""Burns, Kevin"",PERSON"
"""Burns, O. Maxie (Max)"",PERSON"
"""Burns, Steve"",PERSON"
"""Burns, Tim"",PERSON"
"""Burr, Richard Mauze"",PERSON"
"""Burris, Don"",PERSON"
"""Burton, Danny Lee (Dan)"",PERSON"
"""Burton, John Lowell"",PERSON"
"""Burton, Phillip (Phil)"",PERSON"
"""Busansky, Phyllis"",PERSON"
"""Busby, Francine Pocino"",PERSON"
"""Bustamante, Albert Garza"",PERSON"
"""Butler, Carl"",PERSON"
"""Button, Randy"",PERSON"
"""Buyer, Stephen (Steve)"",PERSON"
"""Byrd, Jefferson (Jeff)"",PERSON"
"""Byrnes, John Carroll"",PERSON"
"""Byrum, Dianne"",PERSON"
"""Cacchione, Patrick"",PERSON"
"""Caccioppi, Charmaine"",PERSON"
"""Caccioppoli, Michael Louis, Jr. (Mike)"",PERSON"
"""Caesar, Josh"",PERSON"
"""Cafaro, Capri"",PERSON"
"""Caligiuri, Richard Edward"",PERSON"
"""Caligiuri, Sam"",PERSON"
"""Callaghan, Mike"",PERSON"
"""Callahan, Colleen"",PERSON"
"""Callahan, Frances X."",PERSON"
"""Calongne, Laurinda"",PERSON"
"""Calvert, Bill"",PERSON"
"""Calvey, Kevin"",PERSON"
"""Cammermeyer, Grethe"",PERSON"
"""Camp, Dave"",PERSON"
"""Campbell, Ben Nighthorse"",PERSON"
"""Campbell, Carey"",PERSON"
"""Campbell, Carroll A."",PERSON"
"""Campbell, Foster L., Jr."",PERSON"
"""Campbell, Jerry"",PERSON"
"""Campbell, Tom"",PERSON"
"""Campos Schandlebauer, Leah"",PERSON"
"""Canady, Charles"",PERSON"
"""Canfield, Roger"",PERSON"
"""Canseco, Francisco Raul (Quico)"",PERSON"
"""Canter, MacKenzie"",PERSON"
"""Cantor, Eric"",PERSON"
"""Cantwell, Maria E."",PERSON"
"""Capito, Shelley Moore"",PERSON"
"""Cappiello, David"",PERSON"
"""Capps, Lois"",PERSON"
"""Capps, Walter H."",PERSON"
"""Capuano, Michael E. (Mike)"",PERSON"
"""Carden, Tim"",PERSON"
"""Cardin, Benjamin Louis (Ben)"",PERSON"
"""Cardon, Samuel (Joe)"",PERSON"
"""Carl, Doug"",PERSON"
"""Carlin, David Robert, Jr."",PERSON"
"""Carlson, Gerald"",PERSON"
"""Carmouche, Paul"",PERSON"
"""Carnahan, John Russell"",PERSON"
"""Carnahan, Russ"",PERSON"
"""Carne, Rick"",PERSON"
"""Carney, Christopher P. (Chris)"",PERSON"
"""Carney, John"",PERSON"
"""Carper, Thomas Richard (Tom)"",PERSON"
"""Carr, Milton Robert (Bob)"",PERSON"
"""Carrasco, Barbara"",PERSON"
"""Carrig, Don"",PERSON"
"""Carrington, John"",PERSON"
"""Carroll, John"",PERSON"
"""Carroll, Michael A."",PERSON"
"""Carroll, Robinson"",PERSON"
"""Carroll, Steve"",PERSON"
"""Carson, Andre D."",PERSON"
"""Carson, Brad"",PERSON"
"""Carson, Julia"",PERSON"
"""Carter, Earl Leroy (Buddy)"",PERSON"
"""Carter, Roy"",PERSON"
"""Cartwright, Matthew Alton (Matt)"",PERSON"
"""Case, Edward Espenett (Ed)"",PERSON"
"""Casey, Dick"",PERSON"
"""Casida, Tisha"",PERSON"
"""Cassidy, Bill"",PERSON"
"""Castle, Guthrie"",PERSON"
"""Castle, Michael Newbold (Mike)"",PERSON"
"""Castro, Joaquin"",PERSON"
"""Cates, Chris"",PERSON"
"""Cathcart, Mary B."",PERSON"
"""Causey, Chad"",PERSON"
"""Cavnar, Peggy"",PERSON"
"""Cazayoux, Don"",PERSON"
"""Cazayoux, Jr., Donald J. (Don)"",PERSON"
"""Celebrezze, Anthony Joseph, Jr."",PERSON"
"""Celeste, Ted"",PERSON"
"""Center, Tony"",PERSON"
"""Chabot, Steven J. (Steve)"",PERSON"
"""Chairez, Don"",PERSON"
"""Chamberlain, Douglas W."",PERSON"
"""Chambliss, Saxby"",PERSON"
"""Chandler, Albert Benjamin (Ben), III"",PERSON"
"""Chandler, Deborah McElroy"",PERSON"
"""Chandler, Rodney Dennis (Rod)"",PERSON"
"""Chapin, Linda"",PERSON"
"""Chapman, IV, Jim L."",PERSON"
"""Chapman, Jim, Jr."",PERSON"
"""Chappell, William Venroe, Jr. (Bill)"",PERSON"
"""Chappie, Gene"",PERSON"
"""Cheney, Richard Bruce (Dick)"",PERSON"
"""Chenoweth, Helen"",PERSON"
"""Cherny, Andrei"",PERSON"
"""Childers, Travis Wayne"",PERSON"
"""Chocola, Joseph Christopher (Chris)"",PERSON"
"""Christensen, Jon Lynn"",PERSON"
"""Christian, Alvin"",PERSON"
"""Christian, Dave"",PERSON"
"""Christie, Chris"",PERSON"
"""Chroman, Larry"",PERSON"
"""Chrysler, Richard (Dick)"",PERSON"
"""Chu, Betty"",PERSON"
"""Cicco, John A., Jr."",PERSON"
"""Cicilline, David"",PERSON"
"""Cimperman, Joe"",PERSON"
"""Clapprood, Marjorie O'Neill"",PERSON"
"""Clarenbach, David"",PERSON"
"""Clark, Arthur"",PERSON"
"""Clark, Herman"",PERSON"
"""Clark, John"",PERSON"
"""Clark, Martha Fuller"",PERSON"
"""Clark, Richard"",PERSON"
"""Clark, Robert George"",PERSON"
"""Clark, Tarryl"",PERSON"
"""Clarke, James McClure"",PERSON"
"""Clawson, Curt"",PERSON"
"""Clay, William Lacy"",PERSON"
"""Clearwater, Gretchen"",PERSON"
"""Clement, Robert Nelson"",PERSON"
"""Clinger, William Floyd, Jr. (Bill)"",PERSON"
"""Closson, Sean"",PERSON"
"""Cloud, Doug"",PERSON"
"""Cloud, Jeff"",PERSON"
"""Clute, Steve"",PERSON"
"""Coats, Daniel Ray (Dan)"",PERSON"
"""Cobb, Stephen Archibald"",PERSON"
"""Cobb, Steve"",PERSON"
"""Cobey, William Willfred (Bill)"",PERSON"
"""Coble, John Howard"",PERSON"
"""Coblentz, Robert"",PERSON"
"""Coburn, Thomas Allen (Tom)"",PERSON"
"""Cochran, Deborah"",PERSON"
"""Cocker, Ed"",PERSON"
"""Codey, Dick"",PERSON"
"""Coffman, Michale (Mike)"",PERSON"
"""Coggins, Regina Montoya"",PERSON"
"""Cohen, Burt"",PERSON"
"""Cohen, David Barrett"",PERSON"
"""Cohen, William Sebastian (Bill)"",PERSON"
"""Cohn, Alan M."",PERSON"
"""Coker, Harold L."",PERSON"
"""Colantuono, Tom"",PERSON"
"""Colbert Busch, Elizabeth"",PERSON"
"""Cole, Thomas Jeffery (Tom)"",PERSON"
"""Coleman,  J. Marshall"",PERSON"
"""Coleman, Andy"",PERSON"
"""Coleman, Chris"",PERSON"
"""Coleman, E. Thomas (Tom)"",PERSON"
"""Coleman, Norman Bertram (Norm)"",PERSON"
"""Coleman, Ronald D."",PERSON"
"""Colemane, Andy"",PERSON"
"""Coles, Michael"",PERSON"
"""Collins, Chris"",PERSON"
"""Collins, Frederick"",PERSON"
"""Collins, Jim"",PERSON"
"""Collins, Jr., Michael A., (Mike)"",PERSON"
"""Collins, Michael Allen (Mac)"",PERSON"
"""Collins, Thomas"",PERSON"
"""Conable, Barber B."",PERSON"
"""Conaway, K. Michael (Mike)"",PERSON"
"""Conlin, Michael H."",PERSON"
"""Conlon, Greg"",PERSON"
"""Connelly, Maryanne"",PERSON"
"""Conner, Bill"",PERSON"
"""Conner, Pat"",PERSON"
"""Connolly, Gerry"",PERSON"
"""Conway, Jack"",PERSON"
"""Cook, David"",PERSON"
"""Cook, Debbie"",PERSON"
"""Cook, Merrill"",PERSON"
"""Cook, Rodger"",PERSON"
"""Coons, Christopher A."",PERSON"
"""Cooper, James Ralph"",PERSON"
"""Cooper, James Ralph (Jim)"",PERSON"
"""Cooper, Jerry"",PERSON"
"""Cooper, Virgil R."",PERSON"
"""Coopersmith, Jeffrey"",PERSON"
"""Coors, Joe"",PERSON"
"""Copass, Mike"",PERSON"
"""Corbett, Thomas Wingett, Jr. (Tom)"",PERSON"
"""Cornett, Mick"",PERSON"
"""Cornilles, Rob"",PERSON"
"""Corsi, Dave"",PERSON"
"""Corwin, Jane"",PERSON"
"""Costa, James Manuel (Jim)"",PERSON"
"""Costello, Jerry F."",PERSON"
"""Costello, Lewis M."",PERSON"
"""Cote, Adam"",PERSON"
"""Cotter, William Ross"",PERSON"
"""Coughlin, Lawrence"",PERSON"
"""Courtney, Joe"",PERSON"
"""Cox, Chris"",PERSON"
"""Cox, Clay"",PERSON"
"""Cox, John W., Jr."",PERSON"
"""Cox, TJ"",PERSON"
"""Coxe, Gertrude M."",PERSON"
"""Coxe, Trudy"",PERSON"
"""Coyne, Bill"",PERSON"
"""Coyne, James K. (Jim)"",PERSON"
"""Coyne, Thomas J."",PERSON"
"""Coyne-McCoy, Kate"",PERSON"
"""Crabb, Juanita"",PERSON"
"""Craig, Larry Edwin"",PERSON"
"""Cramer, Kevin"",PERSON"
"""Cramer, Robert E. (Bud)"",PERSON"
"""Crane, Daniel B."",PERSON"
"""Crane, David"",PERSON"
"""Crank, Jeff"",PERSON"
"""Cranley, John"",PERSON"
"""Crapo, Michael Dean"",PERSON"
"""Cravaack, Chip"",PERSON"
"""Cravins, Don"",PERSON"
"""Crawford, Dick"",PERSON"
"""Crawford, Harry"",PERSON"
"""Crawford, John"",PERSON"
"""Crawford, Rick"",PERSON"
"""Crean, Johnnie R."",PERSON"
"""Cremeans, Frank"",PERSON"
"""Crenshaw, Ander"",PERSON"
"""Criego, Eric"",PERSON"
"""Crimmins, Michael"",PERSON"
"""Critz, Mark"",PERSON"
"""Crocker, Ed"",PERSON"
"""Cronin, Paul"",PERSON"
"""Crooks, Dave"",PERSON"
"""Cryts, Wayne"",PERSON"
"""Cubin, Barbara L."",PERSON"
"""Cuellar, Henry"",PERSON"
"""Culberson, John"",PERSON"
"""Cullen, Joe"",PERSON"
"""Cullerton, John"",PERSON"
"""Cummings, Elijah"",PERSON"
"""Cummins, Bud"",PERSON"
"""Cunha, Tim"",PERSON"
"""Cunningham, Randy Duke"",PERSON"
"""Curbelo, Carlos"",PERSON"
"""Curd, Blake"",PERSON"
"""Curnock, Rob"",PERSON"
"""Curran, Joseph J."",PERSON"
"""Curran, Mike"",PERSON"
"""Curry, Jerry R."",PERSON"
"""Curry, William E, Jr. (Bill)"",PERSON"
"""Curtis, Clint"",PERSON"
"""Cutler, Lynn Germain"",PERSON"
"""Dahlkemper, Kathy"",PERSON"
"""Dahm, Nathan"",PERSON"
"""Dailey, Fred"",PERSON"
"""Dalton, Walter"",PERSON"
"""Daly, Dan"",PERSON"
"""D'Amico, Gerard"",PERSON"
"""D'Amours, Norman Edward (Norm)"",PERSON"
"""Danford, Patrick J."",PERSON"
"""Daniel, Robert Williams, Jr."",PERSON"
"""Danner, Pat"",PERSON"
"""D'Annunzio, Tim"",PERSON"
"""Darden, George W. (Buddy)"",PERSON"
"""Daschle, Thomas Andrew (Tom)"",PERSON"
"""Daub, Harold John, Jr. (Hal)"",PERSON"
"""Daugherty, Rick"",PERSON"
"""Davidow, Joe"",PERSON"
"""Davis, Artur"",PERSON"
"""Davis, Charles G. (Greg)"",PERSON"
"""Davis, David"",PERSON"
"""Davis, Dock H."",PERSON"
"""Davis, Geoffrey (Geoff)"",PERSON"
"""Davis, Jack"",PERSON"
"""Davis, James Oscar III (Jim)"",PERSON"
"""Davis, Jim"",PERSON"
"""Davis, Lincoln"",PERSON"
"""Davis, Martin James"",PERSON"
"""Davis, Peter R."",PERSON"
"""Davis, Phil"",PERSON"
"""Davis, Robert W. (Bob)"",PERSON"
"""Davis, Rodney"",PERSON"
"""Davis, Susan"",PERSON"
"""Davis, Thomas M., III (Tom)"",PERSON"
"""Davison, Renee Forgensi"",PERSON"
"""Day, Lon"",PERSON"
"""De Mars, Lou"",PERSON"
"""Deal, J. Nathan "",PERSON"
"""Dear, Noach"",PERSON"
"""Deaton, Pat"",PERSON"
"""Debicella, Dan"",PERSON"
"""Deckard, Joel"",PERSON"
"""Decker, John Henry"",PERSON"
"""Deddeh, Wadie"",PERSON"
"""Deer, Ada"",PERSON"
"""Defaria, Ozzie"",PERSON"
"""DeFazio, Peter Anthony"",PERSON"
"""DeGette, Diana"",PERSON"
"""Deibert, Robin"",PERSON"
"""DeJuliis, Connie Galiazzo"",PERSON"
"""Delahanty, Dolores Sheslo"",PERSON"
"""Delahunt, William D."",PERSON"
"""Delaney, John"",PERSON"
"""Delany, Ann"",PERSON"
"""DeLauro, Rosa L."",PERSON"
"""Delay, Gunner"",PERSON"
"""Delay, Tom"",PERSON"
"""DelBene, Suzan"",PERSON"
"""Demars, Lou"",PERSON"
"""Demers, Jim"",PERSON"
"""Demings, Val"",PERSON"
"""DeMint, James Warren (Jim)"",PERSON"
"""Demos, George"",PERSON"
"""DeNardis, Lawrence Joseph (Larry)"",PERSON"
"""Denham, Jeff"",PERSON"
"""Dennis, John"",PERSON"
"""Denton, Winfield"",PERSON"
"""Derby, Jill"",PERSON"
"""Dermer, Jay"",PERSON"
"""Derrick, Butler Carson, Jr."",PERSON"
"""DeSantis, Ron"",PERSON"
"""Deschamps, Dusty"",PERSON"
"""Deutch, Ted"",PERSON"
"""Deutsch, Peter R."",PERSON"
"""Devens, John S."",PERSON"
"""Dewhurst, David"",PERSON"
"""DeWine, Richard Michael (Mike)"",PERSON"
"""DeWinter, Ted"",PERSON"
"""Dhillon, Neil"",PERSON"
"""Diamond, William G."",PERSON"
"""Diaz-Balart, Lincoln"",PERSON"
"""Diaz-Balart, Mario"",PERSON"
"""Dickey, Dickey, Jay W., Jr."",PERSON"
"""Dickinson, Rick"",PERSON"
"""Dickinson, Spencer"",PERSON"
"""Dickinson, William L. (Bill)"",PERSON"
"""Dicks, Norman D. (Norm)"",PERSON"
"""Diedrich, Larry"",PERSON"
"""Diggs, Parnell"",PERSON"
"""Dillon, David"",PERSON"
"""DiMauro, Ted"",PERSON"
"""Dingell, John David, Jr."",PERSON"
"""DioGuardi, Joseph J."",PERSON"
"""Dix, Bill"",PERSON"
"""Dixon, Irma"",PERSON"
"""Dixon, Larry"",PERSON"
"""Djou, Charles"",PERSON"
"""Doctor, Jeff"",PERSON"
"""Doggett, Lloyd Anton, II"",PERSON"
"""Doggett, Teresa"",PERSON"
"""Doheny, Matt"",PERSON"
"""Doherty, Joe"",PERSON"
"""Dold, Robert"",PERSON"
"""Dombkowski, Adam"",PERSON"
"""Domino, Carl J."",PERSON"
"""Donalds, Byron"",PERSON"
"""Donchess, James W. (Jim)"",PERSON"
"""Dongvillo, Henry J."",PERSON"
"""Donnelly, Joseph Simon (Joe)"",PERSON"
"""Donovan, Christopher G. (Chris)"",PERSON"
"""Doolittle, John T."",PERSON"
"""Dorgan, Byron Leslie"",PERSON"
"""Douglas, Amanda"",PERSON"
"""Douglas, Charles G. (Chuck)"",PERSON"
"""Douglass, Brooks"",PERSON"
"""Dovilla, Mike"",PERSON"
"""Dowdy, Charles Wayne"",PERSON"
"""Downer, Hunt"",PERSON"
"""Drake, Thelma"",PERSON"
"""Driehaus, Steve"",PERSON"
"""Drinan, Robert F."",PERSON"
"""Du Pont, Elise R. W."",PERSON"
"""Duckworth, Robert P."",PERSON"
"""Duckworth, Tammy (Ladda)"",PERSON"
"""Dudley, Dudley W."",PERSON"
"""Duehring, Craig"",PERSON"
"""Duffy, Sean"",PERSON"
"""Dunbar, Forrest"",PERSON"
"""Duncan, Jeff"",PERSON"
"""Duncan, John James, Jr."",PERSON"
"""Duncan, Robert Blackford (Bob)"",PERSON"
"""Dunn, Aubrey"",PERSON"
"""Dunn, James Whitney"",PERSON"
"""Dunn, Jennifer"",PERSON"
"""Dupre, Warren"",PERSON"
"""Durbin, Richard Joseph (Dick)"",PERSON"
"""Durston, Bill"",PERSON"
"""Dutremble, Dennis L."",PERSON"
"""Dutremble, Duke"",PERSON"
"""Dutton, Delvis William"",PERSON"
"""Dyas, Hess"",PERSON"
"""Dyson, Roy"",PERSON"
"""Early, Joseph Daniel"",PERSON"
"""East, Dan"",PERSON"
"""Eastaugh, Steven R."",PERSON"
"""Eckart, Dennis E."",PERSON"
"""Eckert, Fred J."",PERSON"
"""Eckhart, Don Elijah"",PERSON"
"""Edens, Bob"",PERSON"
"""Edgar, Robert William (Bob)"",PERSON"
"""Edmondson, William Andrew (Drew)"",PERSON"
"""Edwards, Chris"",PERSON"
"""Edwards, Donna"",PERSON"
"""Edwards, Donna F."",PERSON"
"""Edwards, Marvin Henry (Mickey)"",PERSON"
"""Edwards, Thomas Chester (Chet)"",PERSON"
"""Ehrlich, Robert Leroy, Jr. (Bob)"",PERSON"
"""Ekelsen, Lily"",PERSON"
"""Eliel Garcia, Juan"",PERSON"
"""Elliot, John"",PERSON"
"""Elliott, Joyce"",PERSON"
"""Ellison, Keith"",PERSON"
"""Ellmers, Renee"",PERSON"
"""Ellsworth, Brad"",PERSON"
"""Elrod, Jonathan Robert (John)"",PERSON"
"""Emanuel, Rahm"",PERSON"
"""Emerson, Jo Ann"",PERSON"
"""Emerson, Norvell William (Bill)"",PERSON"
"""English, Glenn"",PERSON"
"""English, Philip S."",PERSON"
"""Enriquez, Francisco Javier (Frank)"",PERSON"
"""Ensign, John Eric"",PERSON"
"""Erdahl, Arlen Ingolf"",PERSON"
"""Erdreich, Ben"",PERSON"
"""Erickson, Mike"",PERSON"
"""Ertel, Allen Edward"",PERSON"
"""Esch, Jim"",PERSON"
"""Eskind, Jane Greenebaum"",PERSON"
"""Espy, Mike"",PERSON"
"""Esrati, David"",PERSON"
"""Esty, Elizabeth"",PERSON"
"""Etheridge, Bob"",PERSON"
"""Evans, Brock"",PERSON"
"""Evans, Cooper"",PERSON"
"""Evans, Lane"",PERSON"
"""Evans, Mervin Leon"",PERSON"
"""Everett, Terry"",PERSON"
"""Ewing, Andy"",PERSON"
"""Ewing, Sam"",PERSON"
"""Ewing, Thomas (Tom)"",PERSON"
"""Falcon, Armando"",PERSON"
"""Fallin, Mary C."",PERSON"
"""Fallon, Ed"",PERSON"
"""Fallon, Mike"",PERSON"
"""Fanelli, Dan"",PERSON"
"""Farley, Frances"",PERSON"
"""Farley, Ramsey"",PERSON"
"""Farr, Sam"",PERSON"
"""Farrar, Jessica"",PERSON"
"""Farrell, Diane"",PERSON"
